State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,KADAPA,Bajra,2001-02,Rabi,1524,Hectare,2746,Tonnes,1.80183727
Andhra Pradesh,KADAPA,Bajra,2002-03,Kharif,2866,Hectare,2814,Tonnes,0.981856246
Andhra Pradesh,KADAPA,Bajra,2002-03,Rabi,674,Hectare,661,Tonnes,0.980712166
Andhra Pradesh,KADAPA,Bajra,2003-04,Kharif,4332,Hectare,3829,Tonnes,0.88388735
Andhra Pradesh,KADAPA,Bajra,2003-04,Rabi,992,Hectare,877,Tonnes,0.884072581
Andhra Pradesh,KARIMNAGAR,Bajra,2001-02,Rabi,471,Hectare,220,Tonnes,0.467091295
Andhra Pradesh,KARIMNAGAR,Bajra,2002-03,Rabi,330,Hectare,156,Tonnes,0.472727273
Andhra Pradesh,KARIMNAGAR,Bajra,2003-04,Rabi,939,Hectare,574,Tonnes,0.611288605
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Kharif,124,Hectare,58,Tonnes,0.467741935
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Rabi,73,Hectare,34,Tonnes,0.465753425
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Kharif,292,Hectare,138,Tonnes,0.47260274
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Rabi,24,Hectare,11,Tonnes,0.458333333
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Kharif,675,Hectare,412,Tonnes,0.61037037
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Rabi,61,Hectare,37,Tonnes,0.606557377
Andhra Pradesh,KRISHNA,Bajra,2003-04,Kharif,10,Hectare,14,Tonnes,1.4
Andhra Pradesh,KURNOOL,Bajra,2001-02,Kharif,13932,Hectare,11062,Tonnes,0.793999426
Andhra Pradesh,KURNOOL,Bajra,2001-02,Rabi,184,Hectare,146,Tonnes,0.793478261
Andhra Pradesh,KURNOOL,Bajra,2002-03,Kharif,10352,Hectare,6863,Tonnes,0.662963679
Andhra Pradesh,KURNOOL,Bajra,2002-03,Rabi,362,Hectare,240,Tonnes,0.662983425
Andhra Pradesh,KURNOOL,Bajra,2003-04,Kharif,14793,Hectare,17707,Tonnes,1.196985061
Andhra Pradesh,KURNOOL,Bajra,2003-04,Rabi,236,Hectare,282,Tonnes,1.194915254
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Kharif,17952,Hectare,8617,Tonnes,0.480002228
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Rabi,29,Hectare,14,Tonnes,0.482758621
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Kharif,11793,Hectare,6498,Tonnes,0.551004833
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Kharif,11501,Hectare,6671,Tonnes,0.580036519
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Rabi,48,Hectare,28,Tonnes,0.583333333
Andhra Pradesh,MEDAK,Bajra,2001-02,Kharif,870,Hectare,406,Tonnes,0.466666667
Andhra Pradesh,MEDAK,Bajra,2002-03,Kharif,588,Hectare,279,Tonnes,0.474489796
Andhra Pradesh,MEDAK,Bajra,2003-04,Kharif,665,Hectare,406,Tonnes,0.610526316
Andhra Pradesh,MEDAK,Bajra,2003-04,Rabi,9,Hectare,5,Tonnes,0.555555556
Andhra Pradesh,NALGONDA,Bajra,2001-02,Kharif,9786,Hectare,4325,Tonnes,0.441957899
Andhra Pradesh,NALGONDA,Bajra,2001-02,Rabi,24,Hectare,11,Tonnes,0.458333333
Andhra Pradesh,NALGONDA,Bajra,2002-03,Kharif,15097,Hectare,6235,Tonnes,0.412995959
Andhra Pradesh,NALGONDA,Bajra,2003-04,Kharif,21433,Hectare,13438,Tonnes,0.626977091
Andhra Pradesh,NALGONDA,Bajra,2003-04,Rabi,5,Hectare,3,Tonnes,0.6
Andhra Pradesh,NIZAMABAD,Bajra,2001-02,Rabi,5605,Hectare,2618,Tonnes,0.467082962
Andhra Pradesh,NIZAMABAD,Bajra,2002-03,Rabi,4503,Hectare,2134,Tonnes,0.473906285
Andhra Pradesh,NIZAMABAD,Bajra,2003-04,Rabi,4778,Hectare,2919,Tonnes,0.610925073
Andhra Pradesh,PRAKASAM,Bajra,2001-02,Kharif,7969,Hectare,9786,Tonnes,1.228008533
Andhra Pradesh,PRAKASAM,Bajra,2001-02,Rabi,717,Hectare,880,Tonnes,1.227336123
Andhra Pradesh,PRAKASAM,Bajra,2002-03,Kharif,10062,Hectare,9378,Tonnes,0.932021467
Andhra Pradesh,PRAKASAM,Bajra,2002-03,Rabi,198,Hectare,185,Tonnes,0.934343434
Andhra Pradesh,PRAKASAM,Bajra,2003-04,Kharif,26565,Hectare,37324,Tonnes,1.405006588
Andhra Pradesh,PRAKASAM,Bajra,2003-04,Rabi,66,Hectare,93,Tonnes,1.409090909
Andhra Pradesh,RANGAREDDI,Bajra,2001-02,Kharif,706,Hectare,330,Tonnes,0.467422096
Andhra Pradesh,RANGAREDDI,Bajra,2001-02,Rabi,34,Hectare,16,Tonnes,0.470588235
Andhra Pradesh,RANGAREDDI,Bajra,2002-03,Kharif,691,Hectare,328,Tonnes,0.474674385
Andhra Pradesh,RANGAREDDI,Bajra,2002-03,Rabi,1,Hectare,,Tonnes,0
Andhra Pradesh,RANGAREDDI,Bajra,2003-04,Kharif,969,Hectare,592,Tonnes,0.610939112
Andhra Pradesh,RANGAREDDI,Bajra,2003-04,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,SPSR NELLORE,Bajra,2001-02,Kharif,917,Hectare,1357,Tonnes,1.479825518
Andhra Pradesh,SPSR NELLORE,Bajra,2001-02,Rabi,67,Hectare,99,Tonnes,1.47761194
Andhra Pradesh,SPSR NELLORE,Bajra,2002-03,Kharif,1326,Hectare,1671,Tonnes,1.260180995
Andhra Pradesh,SPSR NELLORE,Bajra,2002-03,Rabi,36,Hectare,45,Tonnes,1.25
Andhra Pradesh,SPSR NELLORE,Bajra,2003-04,Kharif,1216,Hectare,1982,Tonnes,1.629934211
Andhra Pradesh,SPSR NELLORE,Bajra,2003-04,Rabi,12,Hectare,20,Tonnes,1.666666667
Andhra Pradesh,SRIKAKULAM,Bajra,2001-02,Kharif,2910,Hectare,2927,Tonnes,1.005841924
Andhra Pradesh,SRIKAKULAM,Bajra,2002-03,Kharif,3476,Hectare,4508,Tonnes,1.29689298
Andhra Pradesh,SRIKAKULAM,Bajra,2003-04,Kharif,3654,Hectare,8634,Tonnes,2.362889984
Andhra Pradesh,VISAKHAPATANAM,Bajra,2001-02,Kharif,15686,Hectare,13019,Tonnes,0.829975775
Andhra Pradesh,VISAKHAPATANAM,Bajra,2002-03,Kharif,14123,Hectare,8897,Tonnes,0.629965305
Andhra Pradesh,VISAKHAPATANAM,Bajra,2002-03,Rabi,2,Hectare,,Tonnes,0
Andhra Pradesh,VISAKHAPATANAM,Bajra,2003-04,Kharif,17771,Hectare,20312,Tonnes,1.142985763
Andhra Pradesh,VIZIANAGARAM,Bajra,2001-02,Kharif,2724,Hectare,2956,Tonnes,1.085168869
Andhra Pradesh,VIZIANAGARAM,Bajra,2002-03,Kharif,3090,Hectare,2735,Tonnes,0.885113269
Andhra Pradesh,VIZIANAGARAM,Bajra,2003-04,Kharif,1565,Hectare,2038,Tonnes,1.302236422
Andhra Pradesh,WARANGAL,Bajra,2001-02,Kharif,55,Hectare,26,Tonnes,0.472727273
Andhra Pradesh,WARANGAL,Bajra,2002-03,Kharif,49,Hectare,23,Tonnes,0.469387755
Andhra Pradesh,WARANGAL,Bajra,2003-04,Kharif,62,Hectare,38,Tonnes,0.612903226
Andhra Pradesh,WARANGAL,Bajra,2003-04,Rabi,290,Hectare,177,Tonnes,0.610344828
Andhra Pradesh,WEST GODAVARI,Bajra,2003-04,Kharif,75,Hectare,102,Tonnes,1.36
Andhra Pradesh,ADILABAD,Banana,2001-02,Whole Year,225,Hectare,5063,Tonnes,22.50222222
Andhra Pradesh,ADILABAD,Banana,2002-03,Whole Year,13,Hectare,317,Tonnes,24.38461538
Andhra Pradesh,ADILABAD,Banana,2003-04,Whole Year,110,Hectare,1540,Tonnes,14
Andhra Pradesh,ANANTAPUR,Banana,2001-02,Whole Year,1582,Hectare,462,Tonnes,0.292035398
Andhra Pradesh,ANANTAPUR,Banana,2002-03,Whole Year,19,Hectare,1006,Tonnes,52.94736842
Andhra Pradesh,ANANTAPUR,Banana,2003-04,Whole Year,36,Hectare,1302,Tonnes,36.16666667
Andhra Pradesh,CHITTOOR,Banana,2001-02,Whole Year,1005,Hectare,7156,Tonnes,7.12039801
Andhra Pradesh,CHITTOOR,Banana,2002-03,Whole Year,960,Hectare,50841,Tonnes,52.959375
Andhra Pradesh,CHITTOOR,Banana,2003-04,Whole Year,587,Hectare,21222,Tonnes,36.15332198
Andhra Pradesh,EAST GODAVARI,Banana,2001-02,Whole Year,10258,Hectare,122822,Tonnes,11.97328914
Andhra Pradesh,EAST GODAVARI,Banana,2002-03,Whole Year,7949,Hectare,116270,Tonnes,14.62699711
Andhra Pradesh,EAST GODAVARI,Banana,2003-04,Whole Year,9547,Hectare,67488,Tonnes,7.069026919
Andhra Pradesh,GUNTUR,Banana,2001-02,Whole Year,7967,Hectare,204939,Tonnes,25.72348437
Andhra Pradesh,GUNTUR,Banana,2002-03,Whole Year,6720,Hectare,151697,Tonnes,22.57395833
